Console Address,OS,HW Type
l1ppap1019-ilo.1dc.com,CentOS 6 X86_64,POWEREDGE R720
l1ppap1020-ilo.1dc.com,CentOS 6 X86_64,POWEREDGE R620
l1ppap1021-ilo.1dc.com,CentOS 6 X86_64,POWEREDGE R620
l1ppap1022-ilo.1dc.com,CentOS 6 X86_64,POWEREDGE R620
l1ppap1023-ilo.1dc.com,CentOS 6 X86_64,POWEREDGE R620
l1ppap1024-ilo.1dc.com,CentOS 6 X86_64,POWEREDGE R620
l1ppap1025-ilo.1dc.com,CentOS 6 X86_64,POWEREDGE R620
l1ppap1026-ilo.1dc.com,CentOS 6 X86_64,POWEREDGE R620
l1ppap1027-ilo.1dc.com,CentOS 6 X86_64,POWEREDGE R620
l1ppap1028-ilo.1dc.com,CentOS 6 X86_64,POWEREDGE R620
l1ppap1029-ilo.1dc.com,CentOS 6 X86_64,POWEREDGE R620
l1ppap1031-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l1ppap1032-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l1ppap1033-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l1ppap1034-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l1ppap1035-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l1ppap1036-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l1ppap1037-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l1ppap1038-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l1ppap1039-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l1ppap1040-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l1ppap1041-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1042-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1043-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1044-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1063-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1064-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1065-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1066-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1067-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1068-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1069-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1070-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1071-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1072-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1073-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1074-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1075-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1076-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1077-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1078-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1079-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1080-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1081-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1082-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1083-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1084-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l1ppap1085-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l1ppap1086-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l1ppap1087-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l1ppap1088-bmc.1dc.com,CentOS 6 X86_64,X9DR3-F 1234567890
l1ppap1089-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l1ppap1090-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l1ppap1091-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l1ppap1092-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l1ppap1093-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l1ppap1094-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l1ppap1095-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l1ppap1096-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l1ppap1097-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l1ppap1098-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l1ppap1099-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l1ppdo1000-ilo.1dc.com,CentOS 6 X86_64,POWEREDGE R720
l3bpap1000-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l3bpap1001-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l3bpap1002-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l3bpap1003-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l3bpap1004-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l3bpap1005-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l3bpap1006-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l3bpap1007-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l3bpap1008-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l3bpap1009-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l3bpap1010-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l3bpap1011-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
l3ppap1000-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l3ppap1001-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l3ppap1002-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
